Part,Quantity,Value,Package,Supplier,PartNumber,Cost,Notes
"nRF52840 Seeed XIAO",1,"- ","Module","Seeed/Aliexpress","113060169","€50","Main microcontroller, includes USB bootloader"
"TLP291 Opto-coupler",1,"- ","8-pin DIP","Aliexpress/Mouser/Digikey","TLP291","€1.50","Galvanic isolation for ABS signal"
"Resistor 1/4W 5%",1,"100Ω","Through-hole","Generic","R1/4W-100","€0.05","LED current limiting for TLP291"
"Resistor 1/4W 5%",1,"10kΩ","Through-hole","Generic","R1/4W-10k","€0.05","Pull-up to 3.3V (photo side)"
"Resistor 1/4W 5%",1,"10kΩ","Through-hole","Generic","R1/4W-10k","€0.05","Pull-down to GND (optional)"
"Capacitor Film",1,"100nF","0.1µ spacing","Generic","C100n","€0.10","Decoupling for TLP291 photo side"
"Capacitor Electrolytic",1,"10µF","5mm lead","Generic","C10u-16v","€0.10","Bypass capacitor for TLP291 LED side"
"Diode Silicon",1,"1N4148","Through-hole","Generic","D1N4148","€0.05","Fast switching diode for reverse polarity protection"
"Breadboard",1,"830 points","Standard ","Aliexpress/Amazon","BB830","€3","Prototyping breadboard for temporary assembly"
"Jumper Wire Set",1,"65-piece","Mixed colors","Aliexpress/Amazon","JW-kit-65","€2","Breadboard connections"
"USB-C Cable",1,"1m","USB-C","Generic","USB-C-1m","€5","For nRF52 programming and serial debug"
"Shielded Twisted Pair",1,"1 meter","18 AWG","Generic","STP-18-1m","€2","ABS signal cable from motorcycle (optional but recommended)"
"Ferrite Toroid",1,"16mm OD","Type 43","Aliexpress","FT-16-43","€1","EMI suppression on ABS cable (optional)"
"Multimeter",1,"Digital","DT830/similar","Aliexpress/Amazon","DT830-generic","€15","Troubleshooting and validation (optional but very useful)"
"Crimp connectors",1,"50-pack","0.1"" spacing","Generic","CRIMP-50","€2","For permanent connections later (optional)"
"Solder",1,"60/40 Pb/Sn","Spool 25g","Generic","SOLDER-25","€3","For permanent PCB/perf-board assembly (optional)"
"Flux paste",1,"Generic","Bottle 30ml","Generic","FLUX-30","€2","For cleaner solder joints (optional)"
"Hot glue gun",1,"Generic","- ","Generic","GUN-hot-glue","€5","For component mounting and strain relief (optional)"
"Perfboard / PCB",1,"Single-sided","5x7cm","Generic","PCB-57","€1","For permanent assembly after breadboard validation (optional)"
